name(Belt of Orion)
snap(-99,-62,-48)

sky(19,16,25)
fog(24,17,23)
ground(200,202,192)
snow()
fadefrom(5600)
lightson()
nlaps(3)


set(10,0,0,250,0)p
set(10,0,5600,250,0)p
chk(48,0,10000,250,0)
set(10,0,11200,250,0)p
set(30,0,16800,250,0)p
set(45,0,21250,250,0)p
set(46,0,25450,250,0)pr
set(45,-4200,25450,250,90)p
set(45,-9800,25450,250,90)p
chk(48,-10000,25450,-343,90)
set(45,-15400,25450,250,90)p
set(149,-23800,25450,250,-90)p

set(145,-28000,21250,250,180)p
set(147,-32200,25450,250,-90)p
set(147,-37800,25450,250,-90)p
chk(48,-40000,25450,-750,90)
set(143,-43400,25450,250,-90)p
set(65,-49000,25450,250,90)p
set(66,-53200,25450,-750,90)pt
set(65,-53200,21250,250,0)p
set(143,-53200,15650,250,180)p
chk(48,-53200,15450,-750,0)
set(141,-53200,11450,250,-90)p

set(140,-57400,11450,250,90)pt
set(142,-61600,11450,250,90)p
set(147,-61600,7250,250,180)pt
set(140,-61600,1650,250,180)p
set(142,-61600,-2550,250,180)p
set(147,-57400,-2550,250,-90)pt

set(141,-53200,-2550,250,0)p
set(139,-53200,-9450,250,180)p
chk(48,-53200,-10000,-750,0)
set(147,-53200,-17750,250,180)p
set(142,-53200,-21950,250,180)pt
set(140,-49000,-21950,250,-90)pt
set(141,-44800,-21950,250,0)p
set(27,-43400,-21950,-750,-90)pr

set(141,-32200,-21950,250,90)p
set(140,-28000,-21950,250,-90)p
set(147,-22400,-21950,250,-90)p
set(147,-16800,-21950,250,-90)p
set(147,-11200,-21950,250,-90)p
set(142,-7000,-21950,250,-90)pt
set(147,-7000,-17750,250,0)p
set(147,-7000,-12150,250,0)p
set(141,-7000,-7950,250,90)pt


//the scenic routes

set(141,-4200,-7950,250,0)
set(147,-4200,-12150,250,180)
set(140,-4200,-17750,250,180)
set(147,-4200,-23350,250,180)
set(139,-4200,-31750,250,180)
set(141,-4200,-38750,250,-90)
set(147,-8400,-38750,250,90)
set(139,-16800,-38750,250,90)
set(141,-23800,-38750,250,180)
set(142,-23800,-35950,250,0)
set(147,-28000,-35950,250,90)
set(141,-32200,-35950,250,180)
set(147,-32200,-31750,250,0)
set(147,-32200,-26150,250,0)

set(147,-44800,-26150,250,180)
set(149,-44800,-33750,250,180)
set(46,-44800,-40650,250,180)
set(30,-42000,-40650,250,90)
set(10,-36400,-40650,250,90)
set(10,-30800,-40650,250,90)
set(10,-25200,-40650,250,90)
set(10,-19600,-40650,250,90)
set(10,-14000,-40650,250,90)
set(10,-8400,-40650,250,90)
set(10,-2800,-40650,250,90)
set(44,0,-40650,250,0)
set(10,0,-35050,250,0)
set(10,0,-29450,250,0)
set(10,0,-23850,250,0)
set(10,0,-18250,250,0)
set(10,0,-12650,250,0)
set(10,0,-7050,250,0)
set(10,0,-5600,250,0)

set(45,-40600,-38040,250,90)
set(46,-36400,-38040,250,0)
set(46,-36400,-40840,250,180)
set(45,-32200,-40840,250,90)
set(45,-26600,-40840,250,90)
set(45,-21000,-40840,250,90)
set(45,-15400,-40840,250,90)
set(45,-9800,-40840,250,90)
set(45,-4200,-40840,250,90)
set(46,0,-40840,250,-90)
set(45,0,-35200,250,0)
set(45,0,-29600,250,0)
set(45,0,-24000,250,0)
set(45,0,-18400,250,0)
set(45,0,-12800,250,0)
set(45,0,-7200,250,0)p


set(27,-53200,10050,-750,180)


maxl(16,-66953,-43695)
maxb(15,-46095,-64553)
maxr(16,5046,-43695)
maxt(15,30705,-64553)
